address,case_family_count,case_track_count,component_rows,epochs_present,exact_address_epoch_overlap_keys,status_groups,case_tracks,P3-CAND-01_gonka,P3-CAND-02_gonka,P3-CAND-03_gonka,P3-CAND-04_gonka,P4-CAND-01_gonka,total_gonka_if_naively_summed
gonka15fpzwc7d2z3r4y5475p6k7uqknnkj38gsus3d9,1,1,1,116,0,local_validated_recommended,P3-CAND-02,,7.100517600,,,,7.100517600
gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq,1,1,2,"267,275",0,disputed_not_aggregate,P4-GroupCap-source,,,,,2034.501080557,2034.501080557
gonka16xa2sdc8qe2289nzr4e6vmdyzlke8g8fn8e75s,1,1,1,272,0,pending_estimate,P3-CAND-01-manual-review,69.342202123,,,,,69.342202123
gonka170wwtpvhwzgghd638z84z35gjggl7cvyzrkh8p,1,1,1,116,0,local_validated_recommended,P3-CAND-02,,156.696892692,,,,156.696892692
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,1,1,5,"267,269,270,271,273",0,disputed_not_aggregate,P4-GroupCap-source,,,,,8441.669467829,8441.669467829
gonka19nd876302m3ll2h7sd55hp9pqzv2hpqalh8pjj,1,1,1,97,0,local_validated_recommended,P3-CAND-02,,8.432384134,,,,8.432384134
gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,1,1,1,276,0,pending_estimate_revalidation_required,P3-CAND-04,,,,217.372045879,,217.372045879
gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,1,1,1,266,0,pending_estimate,P4-e266-delegation,,,,,108.366531966,108.366531966
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,1,1,1,276,0,pending_estimate_revalidation_required,P3-CAND-04,,,,113.179188133,,113.179188133
gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,1,1,1,276,0,pending_estimate_revalidation_required,P3-CAND-04,,,,161.268199400,,161.268199400
gonka1h9asnq9x2kux2m8pcwaeegljzmd4ym4h26p07n,1,1,1,116,0,local_validated_recommended,P3-CAND-02,,33.560566095,,,,33.560566095
gonka1hjjse9r0zfe0q8k4hfe4t5xuzstjqvky7dnj05,1,1,1,116,0,local_validated_recommended,P3-CAND-02,,56.561388067,,,,56.561388067
gonka1hmjjq6ghykww8f8ujajnnmu2dpk2drrth8mtva,1,1,1,116,0,local_validated_recommended,P3-CAND-02,,11.227314154,,,,11.227314154
gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,1,1,1,266,0,pending_estimate,P4-e266-delegation,,,,,1575.513416778,1575.513416778
gonka1jt5mqrx0yg5k6qdqhnkc4kpya4mzy52ngyh34c,1,1,1,116,0,local_validated_recommended,P3-CAND-02,,19.116778155,,,,19.116778155
gonka1l8jd2nz92mnem0xwgwkltcw2952cnlphs5arsa,1,1,2,"273,275",0,disputed_not_aggregate,P4-GroupCap-source,,,,,4167.200640617,4167.200640617
gonka1lh0danzlvxm5qtaly7myqd3n5sus0fq92n8shx,1,1,1,116,0,local_validated_recommended,P3-CAND-02,,182.307306602,,,,182.307306602
gonka1mmwngrtpc4fd4jquv5vfsnscqdzmcz0zgrvy0g,1,1,1,116,0,local_validated_recommended,P3-CAND-02,,15.900304370,,,,15.900304370
